A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,decision
0.906032,AODV,88,10240,32,0,0,Route Request,0,2,40,0,0,6,11,9.17,4,2.49,4,7.27,normal
0.00025,AODV,84,16384,28,1,3000,Route Reply,100,7,41,1,0,6,11,9.17,4,2.49,4,7.27,attack
0.001306,AODV,88,10240,32,1,0,Route Request,0,0,40,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.00023,AODV,88,10240,32,0,0,Route Request,0,1,42,0,0,6,11,9.17,4,2.49,4,7.27,attack
0.001904,AODV,88,10240,32,2,0,Route Request,0,6,40,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001166,AODV,88,10240,32,2,0,Route Request,0,5,40,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000966,AODV,88,10240,32,1,0,Route Request,0,0,41,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.00133,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,7,43,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.009458,UDP,1104,0,1048,0,0,0,0,8,44,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.001251,AODV,88,10240,32,2,0,Route Request,0,3,40,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.009076,UDP,1104,0,1048,0,0,0,0,8,45,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.00267,AODV,88,10240,32,1,0,Route Request,0,4,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001941,AODV,88,10240,32,2,0,Route Request,0,4,43,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000955,AODV,88,10240,32,2,0,Route Request,0,0,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000914,AODV,84,0,28,3,5359,Route Reply,1,7,46,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001484,AODV,88,10240,32,1,0,Route Request,0,3,41,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000914,AODV,84,0,28,2,2985,Route Reply,100,9,48,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001885,AODV,88,10240,32,1,0,Route Request,0,3,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.002749,AODV,88,10240,32,2,0,Route Request,0,5,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001087,AODV,88,10240,32,1,0,Route Request,0,6,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000354,AODV,84,16384,28,1,3000,Route Reply,100,10,46,1,0,6,11,9.17,4,2.49,4,7.27,attack
0.000987,AODV,88,10240,32,3,0,Route Request,0,5,43,1,0,6,11,9.17,4,2.49,4,7.27,normal
