3,4,AODV,84,P,0,0,0,4,0,0,2974,BENIGN
3,4,AODV,84,P,0,1,0,0,0,0,2000,BENIGN
4,8,AODV,88,Q,1,1,10240,0,0,1,0,MALICIOUS
4,8,AODV,88,Q,1,1,10240,1,0,1,0,BENIGN
4,8,AODV,88,Q,1,1,10240,2,0,1,0,BENIGN
4,8,AODV,88,Q,1,1,10240,3,0,1,0,BENIGN
4,8,AODV,88,Q,1,1,10240,4,0,1,0,BENIGN
4,8,AODV,88,Q,1,1,10240,5,0,1,0,BENIGN
4,8,AODV,84,P,0,0,0,2,0,0,2975,BENIGN
4,8,AODV,84,P,0,0,0,3,0,0,2975,BENIGN
4,8,AODV,84,P,0,0,0,4,0,0,2963,BENIGN
4,8,AODV,84,P,0,0,0,2,0,0,2953,BENIGN
4,8,AODV,84,P,0,0,0,2,0,0,2915,BENIGN
4,8,AODV,84,P,0,0,0,3,1,0,5359,BENIGN
4,8,AODV,84,P,0,0,0,4,1,0,5359,BENIGN
4,8,AODV,84,P,0,0,0,5,1,0,5359,BENIGN
4,8,AODV,84,P,0,0,0,3,0,0,2953,BENIGN
4,8,AODV,84,P,0,0,0,4,0,0,2975,BENIGN
4,8,AODV,84,P,0,0,16384,1,100,0,3000,MALICIOUS
4,8,AODV,84,P,0,0,0,2,0,0,2974,BENIGN
4,8,AODV,84,P,0,0,0,4,100,0,2984,BENIGN
4,8,AODV,84,P,0,0,0,2,0,0,2970,BENIGN
4,8,AODV,84,P,0,0,0,3,0,0,2974,BENIGN
4,8,AODV,84,P,0,0,0,3,0,0,2970,BENIGN
4,8,AODV,84,P,0,0,0,4,0,0,2970,BENIGN
4,8,AODV,84,P,0,0,0,4,0,0,2974,BENIGN
4,8,AODV,84,P,0,1,0,0,0,0,2000,BENIGN
4,8,AODV,84,P,0,0,0,3,100,0,3000,BENIGN
4,8,AODV,76,E,0,0,0,0,0,0,0,BENIGN
4,8,AODV,84,P,0,0,0,5,0,0,2963,BENIGN
4,8,AODV,84,P,0,0,0,3,0,0,2915,BENIGN
4,8,AODV,84,P,0,0,0,2,100,0,3000,BENIGN
4,8,AODV,84,P,0,0,0,5,0,0,2975,BENIGN
4,8,AODV,84,P,0,1,0,0,1,0,2000,MALICIOUS
4,8,AODV,84,P,0,0,0,3,0,0,2976,BENIGN
5,2,AODV,88,Q,1,1,10240,1,0,1,0,BENIGN
5,2,AODV,88,Q,1,1,10240,4,0,1,0,BENIGN
5,2,AODV,88,Q,1,1,10240,5,0,1,0,BENIGN
5,2,AODV,88,Q,1,1,10240,2,0,1,0,BENIGN
5,2,AODV,84,P,0,0,0,2,0,0,2975,BENIGN
5,2,AODV,88,Q,1,1,10240,3,0,1,0,BENIGN
5,2,AODV,84,P,0,0,0,3,0,0,2975,BENIGN
5,2,AODV,84,P,0,0,0,4,0,0,2963,BENIGN
